title,link
防范传销进校园微视频《传销笔记》,https://stuhome.ustc.edu.cn/_upload/article/videos/31/2a/bf9f5338428e838cf2fc540be846/bf4b4393-f45c-4702-810e-e6b1067abb3e.flv
见招拆招，预防艾滋,https://stuhome.ustc.edu.cn/2019/0929/c2310a392700/page.htm
【结核病】健康教育视频—《微杀手》,https://stuhome.ustc.edu.cn/2019/0929/c2310a392699/page.htm
经济困难学生认定申请表,https://stuhome.ustc.edu.cn/_upload/article/files/c1/69/58c0bc3745df9e60dcda2b8ced13/5617dd43-ba22-451f-a94b-f3d89dc1919f.doc
法治微电影《贷·价》,https://stuhome.ustc.edu.cn/2019/0603/c2310a382088/page.htm
新疆少数民族特困学生补助申请表,https://stuhome.ustc.edu.cn/_upload/article/files/f6/96/fd432c8248cca0bec36e222f3ced/1b916387-f18f-44ce-8baa-4242eefa5e79.doc
国防教育知识培训课件,https://stuhome.ustc.edu.cn/2019/0516/c2310a380777/page.htm
中国科学技术大学本科生学籍登记表,https://stuhome.ustc.edu.cn/_upload/article/files/95/f7/41bf637446b683d89611b8a1b56a/616faa4c-ac1c-4e22-8822-15597a83b002.doc
毕业生证明,https://stuhome.ustc.edu.cn/_upload/article/files/38/55/e7152c864e2a86f5856fd672f50f/7b528cc0-cf3d-47ed-b65b-4b9e677d8cfc.docx
关于设立中国科学技术大学2019届毕业班级校友联络人的通知及表格,https://stuhome.ustc.edu.cn/_redirect?siteId=47&columnId=2310&articleId=380187
中国科学技术大学本科生退租返校居住审批表,https://stuhome.ustc.edu.cn/_upload/article/files/45/7d/8613e4ff4d6eab9c00c0cc5840df/360ee779-f8e4-4699-9f3f-6d9cbebab037.doc
基层就业资助申请材料,https://stuhome.ustc.edu.cn/_upload/article/files/0c/82/e3716aac4ffaa6b99c394ee43e1e/e66d5014-a034-4fc1-a746-045eabc045f5.rar
班级主题活动项目申报表,https://stuhome.ustc.edu.cn/_upload/article/files/97/80/528cb29c413f9500a315628f7c79/fe44fe51-7fa1-4029-97ef-696c6381390d.doc
贷款展期贴息申请书,https://stuhome.ustc.edu.cn/_upload/article/files/46/e4/77f0ac0749e492c3b0e65360934a/197fde0a-12db-4b63-9ca8-c600120c1154.doc
贷款展期贴息申请填写说明,https://stuhome.ustc.edu.cn/_upload/article/files/ba/4c/fab74622410fa18f5b9c43ea28f8/732cb1c7-82ea-4001-9088-80762c444c35.doc
